BGDTC,Khoa Giáo dục thể chất,NTD - Tầng 2
KCNDMVTT,Viện Dệt may - Da giầy và Thời trang,C5-217
KCNHH,Viện Kỹ thuật Hoá học,C4-214
KGDQP,Khoa Giáo dục quốc phòng,D3-504
KKHVCNVL,Viện Khoa học và Kỹ thuật Vật liệu,C5-315
KKTVQL,Viện Kinh tế & Quản lý,C9-304
KML,Khoa Lý luận chính trị,D3-306
KNN,Viện Ngoại ngữ,D4 - Tầng 2
KSPKT,Viện Sư phạm Kỹ thuật,D5-402
KTTD,Viện Toán ứng dụng và Tin học,D3-105
TCK,Trường Cơ Khí,C10-308
TCNTT,Trường Công nghệ Thông tin và Truyền thông,B1-505
TDDT,Trường Điện - Điện tử,C1-320-322
TTNNHT,Trung tâm ngôn ngữ & trao đổi học thuật,C3B
VCNSHVTP,Viện Công nghệ Sinh học và công nghệ Thực phẩm,C4-202
VKHVCNMT,Viện Khoa học và Công nghệ Môi trường,C10-312
VMICA,Trường Điện - Điện tử,C1-320-322
VVLKT,Viện Vật lý kỹ thuật,C10-101
